fit_session,model,head,columns,nonzero_exact,nonzero_above_1e_12,interaction_nonzero_exact,intercept_or_constant
2021-06-01,M2,q90,63,11,11,0,0.07073007327516756
2021-06-01,M2,p10,63,63,63,6,-2.868153930639594
2021-07-01,M0,mu5,0,0,0,0,0.0028254501910144627
2021-07-01,M0,q90,0,0,0,0,0.07502889301890668
2021-07-01,M0,p10,0,0,0,0,0.07877280265339967
2021-07-01,M1,mu5,19,19,19,0,0.002825450191014448
2021-07-01,M1,q90,19,6,6,0,0.08181510346038139
2021-07-01,M1,p10,19,19,19,0,-2.7796787770297646
2021-07-01,M2,mu5,63,63,63,6,0.002825450191014518
2021-07-01,M2,q90,63,12,12,0,0.0701564013315595
2021-07-01,M2,p10,63,63,63,6,-2.926534328811032
2021-08-02,M0,mu5,0,0,0,0,0.002498952874968534
2021-08-02,M0,q90,0,0,0,0,0.0797142987955338
2021-08-02,M0,p10,0,0,0,0,0.07612179487179487
2021-08-02,M1,mu5,19,19,19,0,0.0024989528749685165
2021-08-02,M1,q90,19,6,6,0,0.08301336867252249
2021-08-02,M1,p10,19,19,19,0,-2.8264768695689226
2021-08-02,M2,mu5,63,63,63,6,0.0024989528749685412
2021-08-02,M2,q90,63,12,12,0,0.07300836376127398
2021-08-02,M2,p10,63,63,63,6,-2.9728543939492638
2021-09-01,M0,mu5,0,0,0,0,0.0029052644678722035
2021-09-01,M0,q90,0,0,0,0,0.07479068769564098
2021-09-01,M0,p10,0,0,0,0,0.07352941176470588
2021-09-01,M1,mu5,19,19,19,0,0.00290526446787221
2021-09-01,M1,q90,19,6,6,0,0.0829818445197641
2021-09-01,M1,p10,19,19,19,0,-2.8785230028735738
2021-09-01,M2,mu5,63,63,63,6,0.002905264467872069
2021-09-01,M2,q90,63,12,12,0,0.0710201205541602
2021-09-01,M2,p10,63,63,63,6,-3.033809975590128
2021-10-01,M0,mu5,0,0,0,0,0.0026437475003860114
2021-10-01,M0,q90,0,0,0,0,0.07471128592121906
2021-10-01,M0,p10,0,0,0,0,0.0712143928035982
2021-10-01,M1,mu5,19,19,19,0,0.0026437475003860326
2021-10-01,M1,q90,19,6,6,0,0.08206375984045614
2021-10-01,M1,p10,19,19,19,0,-2.922078551677165
2021-10-01,M2,mu5,63,63,63,6,0.002643747500385996
2021-10-01,M2,q90,63,13,13,0,0.0710370171737897
2021-10-01,M2,p10,63,63,63,6,-3.089368026465233
2021-11-01,M0,mu5,0,0,0,0,0.00329655705123911
2021-11-01,M0,q90,0,0,0,0,0.07407046680004216
2021-11-01,M0,p10,0,0,0,0,0.0690406976744186
2021-11-01,M1,mu5,19,19,19,0,0.0032965570512391144
2021-11-01,M1,q90,19,6,6,0,0.08060193300420754
2021-11-01,M1,p10,19,19,19,0,-2.972107653947659
2021-11-01,M2,mu5,63,63,63,6,0.0032965570512391096
2021-11-01,M2,q90,63,13,13,0,0.07097804307200133
2021-11-01,M2,p10,63,63,63,6,-3.1426652828265143
2021-12-01,M0,mu5,0,0,0,0,0.0028279655929757067
2021-12-01,M0,q90,0,0,0,0,0.07417566763093299
2021-12-01,M0,p10,0,0,0,0,0.07122708039492243
2021-12-01,M1,mu5,19,19,19,0,0.002827965592975707
2021-12-01,M1,q90,19,6,6,0,0.08061797637380119
2021-12-01,M1,p10,19,19,19,0,-2.908939916341642
2021-12-01,M2,mu5,63,63,63,6,0.0028279655929756243
2021-12-01,M2,q90,63,10,10,0,0.07223087618962787
2021-12-01,M2,p10,63,63,63,6,-3.0900771078479363
2022-01-03,M0,mu5,0,0,0,0,0.0031429085278478312
2022-01-03,M0,q90,0,0,0,0,0.07439367882353143
2022-01-03,M0,p10,0,0,0,0,0.073187414500684
2022-01-03,M1,mu5,19,19,19,0,0.0031429085278478386
2022-01-03,M1,q90,19,6,6,0,0.08093833193249426
2022-01-03,M1,p10,19,19,19,0,-2.9074913206020807
2022-01-03,M2,mu5,63,63,63,6,0.0031429085278477814
