selection_id,model,head,parameter,block_1_loss,block_2_loss,block_3_loss,weighted_loss,loss_minus_selected,validation_rows,selected
2020-09-11,M1,mu5,100.0,0.011534038592894027,0.011468045483408818,0.00315326393395476,0.008718449336752535,0.0,189,True
2020-09-11,M1,mu5,10.0,0.01335267182401599,0.0748488487618886,0.003959630594541791,0.030720383726815462,0.022001934390062927,189,False
2020-09-11,M1,mu5,1.0,0.015196370379332642,0.4526897359996666,0.006466738536771944,0.15811761497192373,0.1493991656351712,189,False
2020-09-11,M1,p10,0.1,1.4486127410754266,0.45338986080034094,0.36240087386934633,0.7548011585817046,0.0,189,True
2020-09-11,M1,p10,1.0,2.501490958120327,0.8250845740892387,0.3650955122828549,1.230557014830807,0.4757558562491023,189,False
2020-09-11,M1,p10,10.0,4.494661841338648,1.3682861037348397,0.4651080082604393,2.1093519844446424,1.3545508258629377,189,False
2020-09-11,M1,q90,0.01,0.03454426552337863,0.025055469716308773,0.01135164752006543,0.02365046091991761,0.0,189,True
2020-09-11,M1,q90,0.001,0.03822715769540843,0.039102361955655966,0.018816246551681706,0.0320485887342487,0.00839812781433109,189,False
2020-09-11,M1,q90,0.0001,0.03762246777932428,0.037109589877703845,0.02514496351248833,0.03329234038983882,0.009641879469921209,189,False
2020-09-11,M2,mu5,100.0,0.00975863537185205,0.3782539404114252,0.0031191729292138026,0.13037724957083036,0.0,189,True
2020-09-11,M2,mu5,10.0,0.011461252441819034,1.381300251883792,0.006047795556615338,0.4662697666274088,0.33589251705657847,189,False
2020-09-11,M2,mu5,1.0,0.01282477918926186,0.7341242936841761,0.009708809663448642,0.2522192941789622,0.12184204460813186,189,False
2020-09-11,M2,p10,0.1,1.7699284040447618,1.336776976795457,0.38015500402768243,1.162286794955967,0.0,189,True
2020-09-11,M2,p10,1.0,3.2559541025270775,1.8383611645632574,0.5150704873814594,1.8697952514905982,0.7075084565346312,189,False
2020-09-11,M2,p10,10.0,5.844163681743085,2.7862047792573925,0.8273276379390603,3.1525653663131794,1.9902785713572124,189,False
2020-09-11,M2,q90,0.01,0.029277627419227334,0.01656182405703792,0.014169556322582533,0.02000300259961593,0.0,189,True
